variant,kind,seed,fold,target,R2,RMSE,MAE,NRMSE,PearsonR,SpearmanRho,CCC
full model,component,42,0,glass_adhesion_kpa,0.7343771457672119,19.90041199837526,14.962554931640625,0.5153861045837402,0.8624064922332764,0.832948956947186,0.8466552062228347
full model,component,42,1,glass_adhesion_kpa,0.6785147190093994,19.662969899125265,13.190646171569824,0.566996693611145,0.8294407725334167,0.837628687669235,0.8298796979739106
full model,component,42,2,glass_adhesion_kpa,0.6987225413322449,19.098670537725756,14.49683952331543,0.5488874912261963,0.846057653427124,0.8439128079837482,0.8600852146415399
full model,component,2024,0,glass_adhesion_kpa,0.769514799118042,17.853529192814285,13.496323585510254,0.4800886809825897,0.8801077008247375,0.8707974437343707,0.8763860652940417
full model,component,2024,1,glass_adhesion_kpa,0.7128201723098755,19.494810538690885,13.301648139953613,0.535891592502594,0.8731409907341003,0.8494421985009604,0.8377454998171081
full model,component,2024,2,glass_adhesion_kpa,0.6849379539489746,19.40690967955864,14.685949325561523,0.5613039135932922,0.8298509120941162,0.8329373845953122,0.8230601898661802
w/o multimodal fusion,component,42,0,glass_adhesion_kpa,0.5725724697113037,25.244142362790075,19.470319747924805,0.6537794470787048,0.757578432559967,0.7250548781592511,0.7368144936811081
w/o multimodal fusion,component,42,1,glass_adhesion_kpa,0.7339544296264648,17.887374329408736,13.684222221374512,0.5157960653305054,0.8576406836509705,0.8586631848185338,0.8605496760478766
w/o multimodal fusion,component,42,2,glass_adhesion_kpa,0.675171971321106,19.831089095825334,14.754414558410645,0.5699368715286255,0.829978346824646,0.7976493144603405,0.8410409844657034
w/o multimodal fusion,component,2024,0,glass_adhesion_kpa,0.5449850559234619,25.08507618810996,18.42059326171875,0.6745479106903076,0.7404107451438904,0.7599888858016117,0.7282804563001084
w/o multimodal fusion,component,2024,1,glass_adhesion_kpa,0.6591039896011353,21.23992681170999,14.72727108001709,0.5838630199432373,0.8283104300498962,0.805540504947216,0.7980771561281873
w/o multimodal fusion,component,2024,2,glass_adhesion_kpa,0.5329388976097107,23.62899116832567,16.933183670043945,0.6834187507629395,0.7387730479240417,0.777504550013211,0.7417634447966002
w/o sparse attention,component,42,0,glass_adhesion_kpa,0.7816787958145142,18.041695516209373,14.411977767944336,0.4672485291957855,0.8878577351570129,0.8891327909181371,0.8824643796955075
w/o sparse attention,component,42,1,glass_adhesion_kpa,0.6497296094894409,20.52439136415842,15.322152137756348,0.5918364524841309,0.8190407156944275,0.8205398954013106,0.8322583437932336
w/o sparse attention,component,42,2,glass_adhesion_kpa,0.7351410388946533,17.90717881807897,12.879979133605957,0.5146445035934448,0.8678911924362183,0.8643910030148303,0.8816856991518477
w/o sparse attention,component,2024,0,glass_adhesion_kpa,0.7993614673614502,16.657497681341763,11.907269477844238,0.44792690873146057,0.8970309495925903,0.8892470130591833,0.9090556418178378
w/o sparse attention,component,2024,1,glass_adhesion_kpa,0.6997137665748596,19.934703283960143,14.17822265625,0.5479837656021118,0.8499684929847717,0.8201003071131413,0.8371883292468375
w/o sparse attention,component,2024,2,glass_adhesion_kpa,0.6584752202033997,20.205491873633484,16.458940505981445,0.5844011902809143,0.8150427341461182,0.8562219537079941,0.8126526560437676
w/o attention sparsity reg.,component,42,0,glass_adhesion_kpa,0.7344058156013489,19.899339275797104,14.965958595275879,0.5153583288192749,0.8624474406242371,0.832948956947186,0.8466431538388417
w/o attention sparsity reg.,component,42,1,glass_adhesion_kpa,0.6783164739608765,19.66903198156424,13.196619033813477,0.5671714544296265,0.8293249607086182,0.8372952478201047,0.8297450290884062
w/o attention sparsity reg.,component,42,2,glass_adhesion_kpa,0.6995638608932495,19.071985505015352,14.482600212097168,0.5481205582618713,0.846409797668457,0.8455799609035106,0.8604338145188848
w/o attention sparsity reg.,component,2024,0,glass_adhesion_kpa,0.7698756456375122,17.839549944892894,13.480440139770508,0.4797127842903137,0.8802603483200073,0.869797165879411,0.8766910920514948
w/o attention sparsity reg.,component,2024,1,glass_adhesion_kpa,0.7129856944084167,19.48919221725852,13.29763412475586,0.535737156867981,0.8732989430427551,0.8507203490727783,0.8378637814372215
w/o attention sparsity reg.,component,2024,2,glass_adhesion_kpa,0.6848872900009155,19.408469547739895,14.68716812133789,0.5613490343093872,0.829833984375,0.8329373845953122,0.8230253409247799
w/o FiLM conditioning,component,42,0,glass_adhesion_kpa,0.7343771457672119,19.90041199837526,14.962554931640625,0.5153861045837402,0.8624064922332764,0.832948956947186,0.8466552062228347
