variant,kind,seed,fold,target,R2,RMSE,delta
full model,component,42,0,glass_adhesion_kpa,0.77019864320755,35.92946921139387,0.0
full model,component,42,1,glass_adhesion_kpa,0.765012264251709,35.33718716699166,0.0
full model,component,42,2,glass_adhesion_kpa,0.752642810344696,36.64419458891562,0.0
full model,component,2024,0,glass_adhesion_kpa,0.6964505910873413,41.29032711521247,0.0
full model,component,2024,1,glass_adhesion_kpa,0.8535226583480835,28.244935248421086,0.0
full model,component,2024,2,glass_adhesion_kpa,0.7840805649757385,33.81607031173381,0.0
full model,component,7,0,glass_adhesion_kpa,0.7684476375579834,33.616979613870356,0.0
full model,component,7,1,glass_adhesion_kpa,0.7599330544471741,34.83568958058226,0.0
full model,component,7,2,glass_adhesion_kpa,0.7658550143241882,38.69497889392838,0.0
w/o multimodal fusion,component,42,0,glass_adhesion_kpa,0.7404756546020508,38.182429849588544,0.07235774066713119
w/o multimodal fusion,component,42,1,glass_adhesion_kpa,0.7271729707717896,38.07615339068864,0.07235774066713119
w/o multimodal fusion,component,42,2,glass_adhesion_kpa,0.6534731388092041,43.3721898292666,0.07235774066713119
w/o multimodal fusion,component,2024,0,glass_adhesion_kpa,0.698064923286438,41.1803848534674,0.07235774066713119
w/o multimodal fusion,component,2024,1,glass_adhesion_kpa,0.7625386118888855,35.962661028923456,0.07235774066713119
w/o multimodal fusion,component,2024,2,glass_adhesion_kpa,0.6214601993560791,44.77473729246633,0.07235774066713119
w/o multimodal fusion,component,7,0,glass_adhesion_kpa,0.6541210412979126,41.086217524953696,0.07235774066713119
w/o multimodal fusion,component,7,1,glass_adhesion_kpa,0.6831932663917542,40.01800437088443,0.07235774066713119
w/o multimodal fusion,component,7,2,glass_adhesion_kpa,0.7244237661361694,41.97909025401441,0.07235774066713119
w/o sparse attention,component,42,0,glass_adhesion_kpa,0.7702867984771729,35.922576724877175,0.022405127684275272
w/o sparse attention,component,42,1,glass_adhesion_kpa,0.7810153961181641,34.11270311294423,0.022405127684275272
w/o sparse attention,component,42,2,glass_adhesion_kpa,0.7848637104034424,34.174311184307356,0.022405127684275272
w/o sparse attention,component,2024,0,glass_adhesion_kpa,0.6098189353942871,46.813029348642615,0.022405127684275272
w/o sparse attention,component,2024,1,glass_adhesion_kpa,0.8499506115913391,28.587251652288124,0.022405127684275272
w/o sparse attention,component,2024,2,glass_adhesion_kpa,0.75555419921875,35.98061103034782,0.022405127684275272
w/o sparse attention,component,7,0,glass_adhesion_kpa,0.7394448518753052,35.6602090949466,0.022405127684275272
w/o sparse attention,component,7,1,glass_adhesion_kpa,0.6118294596672058,44.296509864015384,0.022405127684275272
w/o sparse attention,component,7,2,glass_adhesion_kpa,0.8117331266403198,34.69757736499769,0.022405127684275272
w/o attention sparsity reg.,component,42,0,glass_adhesion_kpa,0.7701964974403381,35.92963738716879,1.046392652748196e-06
w/o attention sparsity reg.,component,42,1,glass_adhesion_kpa,0.7650133371353149,35.337104260253135,1.046392652748196e-06
w/o attention sparsity reg.,component,42,2,glass_adhesion_kpa,0.7526379227638245,36.64455602580177,1.046392652748196e-06
w/o attention sparsity reg.,component,2024,0,glass_adhesion_kpa,0.6964505910873413,41.29032415882231,1.046392652748196e-06
w/o attention sparsity reg.,component,2024,1,glass_adhesion_kpa,0.8535225987434387,28.24493632888303,1.046392652748196e-06
