token,attention_mean,attention_sd,n_features,features
CLS,0.017801547423005104,0.009214580059051514,0,
mod1_block1,0.07581871002912521,0.028422730043530464,1,Nucleophilic-HEA
mod1_block2,0.08801838755607605,0.04675343260169029,1,Hydrophobic-BA
mod1_block3,0.03587425872683525,0.02921208366751671,1,Acidic-CBEA
mod1_block4,0.05135883763432503,0.02287975326180458,1,Cationic-ATAC
mod1_block5,0.02776777558028698,0.012237000279128551,1,Aromatic-PEA
mod1_block6,0.042145803570747375,0.028467049822211266,1,Amide-AAm
mod2_block1,0.1866529881954193,0.08294104784727097,4,pair_01; pair_02; pair_03; pair_04
mod2_block2,0.2677658796310425,0.16704437136650085,4,pair_05; pair_12; pair_13; pair_14
mod2_block3,0.10477659851312637,0.0909344032406807,4,pair_15; pair_23; pair_24; pair_25
mod2_block4,0.10201925039291382,0.06801861524581909,3,pair_34; pair_35; pair_45
