sample_id,condition,PC1,PC2,y_glass_adhesion_kpa,method,UMAP1,UMAP2
hg0000,all,5.619217,-1.780695,22.363766,PCA+UMAP,-1.599882,7.7082343
hg0001,all,5.5801487,-2.5417488,12.569002,PCA+UMAP,-2.4566798,11.529666
hg0002,all,5.474906,-1.2238582,10.927106,PCA+UMAP,-1.00685,8.197098
hg0003,all,-2.2754333,3.2704477,126.822365,PCA+UMAP,10.748089,0.87477624
hg0004,all,0.14538191,3.006923,109.27106,PCA+UMAP,8.287255,-0.23300405
hg0005,all,5.228767,-1.9502822,7.190375,PCA+UMAP,-3.1045065,12.033908
hg0006,all,5.443491,-1.3855745,39.97169,PCA+UMAP,-1.7045543,7.3717976
hg0007,all,2.9378583,1.6318574,77.56546,PCA+UMAP,1.0000206,4.782385
hg0008,all,5.3705645,-2.3120484,11.040339,PCA+UMAP,-2.8905997,11.855244
hg0009,all,2.8577764,1.5739406,76.99929,PCA+UMAP,5.7980022,0.6931563
hg0010,all,3.8023722,0.95923156,44.217976,PCA+UMAP,1.5186974,4.7011375
hg0011,all,2.666211,1.9146416,103.609344,PCA+UMAP,6.5537257,0.13517322
hg0012,all,0.79776525,2.8572133,104.741684,PCA+UMAP,8.433276,-1.0633312
hg0013,all,5.024035,-2.4359732,21.231422,PCA+UMAP,-3.1704895,11.519006
hg0014,all,2.830264,1.2039516,67.37438,PCA+UMAP,1.1651067,4.700436
hg0015,all,0.3407067,3.0714808,58.881813,PCA+UMAP,8.480409,-0.4708259
hg0016,all,5.5536146,-2.5049827,10.021232,PCA+UMAP,-2.4820051,11.557347
hg0017,all,4.5504546,0.08255988,69.63907,PCA+UMAP,2.146454,5.2536035
hg0018,all,3.1781297,1.5453049,50.389244,PCA+UMAP,5.5440288,0.39706385
hg0019,all,4.3988323,0.2647605,44.784145,PCA+UMAP,2.0975788,5.233489
hg0020,all,4.37184,0.29015422,51.2385,PCA+UMAP,2.008656,5.2052693
hg0021,all,5.225917,-0.87533987,60.014153,PCA+UMAP,-1.5015883,7.190638
hg0022,all,5.1433315,-1.7874131,6.5109696,PCA+UMAP,-3.1705003,12.026696
hg0023,all,2.4020622,2.1977053,60.580326,PCA+UMAP,6.108907,0.06472459
hg0024,all,2.4098063,2.188641,66.58174,PCA+UMAP,6.098136,0.15821546
hg0025,all,3.1584837,1.629374,70.20524,PCA+UMAP,5.524077,0.29575166
hg0026,all,2.3334486,2.254778,67.94055,PCA+UMAP,6.057999,0.09279558
hg0027,all,5.541032,-1.7162008,19.53291,PCA+UMAP,-1.8234727,7.5355196
hg0028,all,0.57912195,2.9719217,69.01628,PCA+UMAP,8.465307,-0.91574645
hg0029,all,5.3854494,-1.3943285,47.388535,PCA+UMAP,-1.9646002,7.1942344
hg0030,all,3.868096,0.8831424,38.556263,PCA+UMAP,1.559184,4.7706523
hg0031,all,5.1774917,-2.7657027,21.457891,PCA+UMAP,-2.9697409,11.364804
hg0032,all,5.4229503,-1.4116709,39.518753,PCA+UMAP,-1.7848611,7.2916894
hg0033,all,5.28009,-0.6964584,79.037506,PCA+UMAP,-1.3340763,6.9770136
hg0034,all,3.3415904,0.7068872,96.41897,PCA+UMAP,1.3397067,4.8776035
hg0035,all,5.5615005,-2.504647,16.022646,PCA+UMAP,-2.5710442,11.617149
hg0036,all,3.8096576,0.955641,44.161358,PCA+UMAP,1.6086166,4.866738
hg0037,all,4.3654475,0.19361892,66.242035,PCA+UMAP,5.2909975,0.5248307
hg0038,all,5.433674,-1.4904344,24.571833,PCA+UMAP,-1.8914889,7.2755055
hg0039,all,1.676852,2.2418237,107.57254,PCA+UMAP,5.986626,0.87382805
hg0040,all,-3.3457649,3.0767138,123.99151,PCA+UMAP,11.253887,1.4477311
hg0041,all,-3.5718584,3.033166,146.63835,PCA+UMAP,11.301539,1.3826283
hg0042,all,3.3920221,1.2647802,53.61642,PCA+UMAP,1.1508323,4.601092
hg0043,all,5.43208,-1.4841852,41.840057,PCA+UMAP,-1.8534861,7.3613267
hg0044,all,5.2749743,-0.91413474,56.617126,PCA+UMAP,-1.4731834,7.2252903
hg0045,all,5.404846,-1.562809,28.931353,PCA+UMAP,-1.9555101,7.292971
hg0046,all,5.517557,-1.6191559,34.47983,PCA+UMAP,-1.819831,7.5011945
hg0047,all,5.0119057,-0.4599771,67.94055,PCA+UMAP,-1.2015773,6.8443713
hg0048,all,5.4478073,-2.2930095,13.814579,PCA+UMAP,-2.7703633,11.814455
hg0049,all,4.275077,0.42154494,33.573956,PCA+UMAP,1.9740115,5.334151
