feature,importance_mean,importance_sd,n_folds,importance_se,rank
Cationic-ATAC,0.2223840820789337,0.0887008383045305,10,0.028049667940862444,1
pair_03,0.09901862621307374,0.05387509261649075,10,0.01703680018206311,2
pair_01,0.07193468332290649,0.030341765220550418,10,0.009594908632702048,3
Hydrophobic-BA,0.055466809272766114,0.04156327941355514,10,0.013143462997282172,4
pair_04,0.05044068455696107,0.06411138052761982,10,0.020273798640504617,5
pair_13,0.0313033425807953,0.03171726429504428,10,0.010029879632187471,6
pair_02,0.030331093072891224,0.02686728227266222,10,0.008496180652027766,7
pair_23,0.027213273048400877,0.0456631180263934,10,0.014439945802849585,8
Nucleophilic-HEA,0.023878192901611327,0.020333163872537738,10,0.006429910987466886,9
pair_34,0.013626215457916258,0.03153876628847439,10,0.009973433606331416,10
pair_12,0.011246538162231446,0.021546341486918134,10,0.006813551434244035,11
pair_35,0.011067461967468262,0.020611927315666426,10,0.006518063728334632,12
Acidic-CBEA,0.010702973604202259,0.01989167098055223,10,0.006290298676521995,13
pair_25,0.007499997615814213,0.012178679704294306,10,0.0038512366759235928,14
pair_14,0.0069184589385986265,0.02506268775797247,10,0.007925517760081185,15
pair_15,0.005654087066650393,0.014913744405440113,10,0.004716140076278442,16
Amide-AAm,0.0028180611133575397,0.018144286718420513,10,0.005737727254935101,17
pair_24,0.0009549367427825861,0.011484454146624306,10,0.0036317032787098152,18
Aromatic-PEA,-0.0008774793148040971,0.019809089239606417,10,0.00626418403706892,19
pair_05,-0.0011036705970764004,0.0067766412852744715,10,0.002142962134739819,20
pair_45,-0.0025865602493286175,0.004434303588755066,10,0.0014022499177124617,21
