dataset,feature,mean,std,min,q25,median,q75,max,pct_missing,skew,kurtosis,pct_outlier
internal,Nucleophilic-HEA,0.23586436,0.20881663,0.0,0.020424187,0.20066339,0.44326472,0.6551648,0.0,0.37117437,-1.3500744,0.0
internal,Hydrophobic-BA,0.38989803,0.18243837,0.0,0.22783412,0.39503556,0.5495642,0.7996691,0.0,0.0056416057,-1.0039563,0.0
internal,Acidic-CBEA,0.09986556,0.10023376,0.0,0.0,0.08527387,0.17255622,0.46647346,0.0,1.2891167,1.7868376,1.2658227848101267
internal,Cationic-ATAC,0.10549547,0.08555051,0.0,0.060286377,0.089131095,0.14680865,0.51838374,0.0,1.4916898,3.6155472,5.063291139240507
internal,Aromatic-PEA,0.11751083,0.13553451,0.0,0.0,0.0796089,0.21068373,0.6793115,0.0,1.0194565,0.29827595,0.31645569620253167
internal,Amide-AAm,0.051365796,0.09794082,0.0,0.0,0.0,0.07119232,0.5192312,0.0,2.611326,7.118209,10.126582278481013
internal,pair_01,0.06964944,0.058499813,0.0,0.00742824,0.06598957,0.11602601,0.189436,0.0,0.29063407,-1.2592695,0.0
internal,pair_02,0.029340442,0.035689164,0.0,0.0,0.014956962,0.04560413,0.16837527,0.0,1.2908541,1.2466407,2.5316455696202533
internal,pair_03,0.021006737,0.02802028,0.0,0.0,0.00874829,0.036611523,0.11464425,0.0,1.4196777,1.0539584,4.113924050632911
internal,pair_04,0.010624367,0.024147576,0.0,0.0,0.0,0.01087293,0.16351125,0.0,3.4973972,14.165951,11.39240506329114
internal,pair_05,0.006006959,0.0140771065,0.0,0.0,0.0,0.0022528758,0.08007061,0.0,2.7393315,7.1515055,18.9873417721519
internal,pair_12,0.032456413,0.033157393,0.0,0.0,0.022186957,0.051942628,0.15984711,0.0,1.1039808,0.604939,0.949367088607595
internal,pair_13,0.03729147,0.029427342,0.0,0.015198811,0.03463617,0.05533389,0.18896727,0.0,0.8632242,1.3774142,0.31645569620253167
