external_index,external_id,internal_index,internal_id,md5,kind
-1,hg0274,-1,hg0274,SHARED_SAMPLE_ID,SAMPLE_ID_REUSE
-1,hg0275,-1,hg0275,SHARED_SAMPLE_ID,SAMPLE_ID_REUSE
-1,hg0276,-1,hg0276,SHARED_SAMPLE_ID,SAMPLE_ID_REUSE
-1,hg0277,-1,hg0277,SHARED_SAMPLE_ID,SAMPLE_ID_REUSE
-1,hg0278,-1,hg0278,SHARED_SAMPLE_ID,SAMPLE_ID_REUSE
-1,hg0279,-1,hg0279,SHARED_SAMPLE_ID,SAMPLE_ID_REUSE
-1,hg0280,-1,hg0280,SHARED_SAMPLE_ID,SAMPLE_ID_REUSE
-1,hg0281,-1,hg0281,SHARED_SAMPLE_ID,SAMPLE_ID_REUSE
-1,hg0282,-1,hg0282,SHARED_SAMPLE_ID,SAMPLE_ID_REUSE
-1,hg0283,-1,hg0283,SHARED_SAMPLE_ID,SAMPLE_ID_REUSE
-1,hg0284,-1,hg0284,SHARED_SAMPLE_ID,SAMPLE_ID_REUSE
-1,hg0285,-1,hg0285,SHARED_SAMPLE_ID,SAMPLE_ID_REUSE
-1,hg0286,-1,hg0286,SHARED_SAMPLE_ID,SAMPLE_ID_REUSE
-1,hg0287,-1,hg0287,SHARED_SAMPLE_ID,SAMPLE_ID_REUSE
-1,hg0288,-1,hg0288,SHARED_SAMPLE_ID,SAMPLE_ID_REUSE
-1,hg0289,-1,hg0289,SHARED_SAMPLE_ID,SAMPLE_ID_REUSE
-1,hg0290,-1,hg0290,SHARED_SAMPLE_ID,SAMPLE_ID_REUSE
-1,hg0291,-1,hg0291,SHARED_SAMPLE_ID,SAMPLE_ID_REUSE
