feature,mean_internal,mean_external,std_internal,std_external,ks_stat,ks_p,cohens_d,ks_p_fdr
Aromatic-PEA,0.11751078069210052,0.29623156785964966,0.13553452491760254,0.07225169241428375,0.6774683544303798,6.12418981189593e-11,1.645609974861145,9.253391386170628e-10
pair_01,0.06964939087629318,0.005791248753666878,0.05849980190396309,0.018391553312540054,0.6731645569620253,8.812753701114883e-11,-1.4726849794387817,9.253391386170628e-10
Nucleophilic-HEA,0.23586435616016388,0.016782473772764206,0.208816796541214,0.054039858281612396,0.6636708860759494,1.8758545812767476e-10,-1.436413288116455,1.3130982068937234e-09
pair_02,0.029340451583266258,8.407623681705445e-05,0.035689134150743484,0.00029671870288439095,0.6467088607594936,6.8864386912275e-10,-1.1592696905136108,3.6153803128944376e-09
pair_14,0.04745221883058548,0.13514715433120728,0.05916694551706314,0.05462757870554924,0.6024050632911392,1.6255311767493786e-08,1.5400607585906982,6.827230942347391e-08
Acidic-CBEA,0.09986553341150284,0.03287089616060257,0.10023383051156998,0.07585286349058151,0.5615189873417722,2.250257486122766e-07,-0.7537371516227722,7.875901201429682e-07
pair_34,0.014904577285051346,0.030270280316472054,0.02584235928952694,0.020230146124958992,0.5508860759493671,4.2995851330354656e-07,0.6621283888816833,1.2898755399106399e-06
pair_12,0.0324564054608345,0.00815991498529911,0.03315737843513489,0.017948051914572716,0.5456962025316455,5.820612961008858e-07,-0.9113355875015259,1.5279109022648252e-06
pair_03,0.021006731316447258,0.001149113872088492,0.028020275756716728,0.0033097092527896166,0.5129113924050633,3.7227624858712457e-06,-0.9953160881996155,8.68644580036624e-06
pair_23,0.008749578148126602,0.004338301718235016,0.013741881586611271,0.01015482284128666,0.38544303797468354,0.001329122115954479,-0.365105003118515,0.002791156443504406
pair_45,0.006670401897281408,0.024330295622348785,0.017214719206094742,0.029047315940260887,0.3407594936708861,0.006622983037309176,0.7396613359451294,0.012643876707590245
pair_13,0.03729145973920822,0.040875039994716644,0.02942734584212303,0.017081014811992645,0.2830379746835443,0.038859977519817616,0.1489458978176117,0.06800496065968083
Amide-AAm,0.051365792751312256,0.10201624035835266,0.09794087707996368,0.1310112029314041,0.27974683544303797,0.042462966267446,0.4379099905490875,0.06859402243202815
pair_15,0.01774432510137558,0.033380091190338135,0.03314265236258507,0.042062368243932724,0.2650632911392405,0.06267849808000704,0.4129228889942169,0.09401774712001057
Hydrophobic-BA,0.38989806175231934,0.4520716965198517,0.18243834376335144,0.15604302287101746,0.24164556962025316,0.11157427349914727,0.3662562072277069,0.15620398289880616
pair_35,0.005094934720546007,0.010234449990093708,0.013974967412650585,0.015521587803959846,0.23430379746835442,0.13240381127737966,0.34800437092781067,0.1731901877174838
Cationic-ATAC,0.10549547523260117,0.10002715140581131,0.08555050939321518,0.05616527795791626,0.23177215189873418,0.14020158053320117,-0.07556571811437607,0.1731901877174838
pair_04,0.010624364949762821,0.004198666661977768,0.024147585034370422,0.01296941377222538,0.21974683544303797,0.18215307491154237,-0.3315318822860718,0.21251192073013278
pair_05,0.006006958894431591,0.00235741026699543,0.014077109284698963,0.01078076008707285,0.21632911392405063,0.195788750075135,-0.29108506441116333,0.2163980921883071
pair_25,0.003618319518864155,0.004142738413065672,0.009105936624109745,0.015475350432097912,0.17113924050632912,0.45314380521221886,0.04130405932664871,0.47580099547282984
pair_24,0.005680835340172052,0.00931171141564846,0.015564286150038242,0.020636960864067078,0.09784810126582279,0.9623138339211221,0.1986532062292099,0.9623138339211221
