variant,r2_mean,r2_std,rmse_mean,rmse_std,delta_mean,delta_std,n
full model,0.7684603598382738,0.04032617174434653,35.37887019233884,3.6156347522437433,0.0,0.0,9
w/o multimodal fusion,0.6961026191711426,0.04673312510264247,40.514652043805945,2.774462385329173,0.0723577406671311,0.0,9
fusion = concat,0.728123234377967,0.05461518342982276,38.27978374643213,3.9726477031620813,0.0403371254603067,0.0,9
w/o sparse attention,0.7460552321539985,0.08301666218650113,36.693864375263004,5.534919261042996,0.0224051276842752,0.0,9
w/o Mixup,0.7569729023509555,0.05332059238762805,36.16634493634832,4.279569693320089,0.0114874574873182,0.0,9
fusion = cross,0.7579592135217454,0.036143710694177364,36.194824963460455,3.1009550292003785,0.0105011463165283,0.0,9
w/o residual blocks,0.7592971788512336,0.029973173356432334,36.12674712978985,2.6477549133089084,0.0091631809870401,0.0,9
w/o feature noise,0.7620638211568197,0.038516899071113275,35.893148562618535,3.43809389913446,0.006396538681454,0.0,9
fusion = film,0.7631816797786288,0.026809507334511203,35.83978719601865,2.414328752651511,0.0052786800596449,0.0,9
w/o FiLM conditioning,0.7650733523898654,0.03658597955888441,35.62657400674104,2.743255309390358,0.0033870074484083,0.0,9
w/o contrastive pre-training,0.7658089399337769,0.03507719402158414,35.59925209071537,2.902807623195343,0.0026514199044969,0.0,9
w/o attention sparsity reg.,0.768459313445621,0.04032647162033862,35.37895563618302,3.615754507002725,1.046392652748196e-06,0.0,9
w/o MFM pre-training,0.7684603598382738,0.04032617174434653,35.37887019233884,3.6156347522437433,0.0,0.0,9
w/o MC-Dropout,0.7684603598382738,0.04032617174434653,35.37887019233884,3.6156347522437433,0.0,0.0,9
w/o EMA,0.7684603598382738,0.04032617174434653,35.37887019233884,3.6156347522437433,0.0,0.0,9
w/o SAM,0.7684603598382738,0.04032617174434653,35.37887019233884,3.6156347522437433,0.0,0.0,9
w/o uncertainty weighting,0.7684603598382738,0.04032617174434653,35.37887019233884,3.6156347522437433,0.0,0.0,9
w/o domain constraint,0.7684603598382738,0.04032617174434653,35.37887019233884,3.6156347522437433,0.0,0.0,9
w/o SWA,0.7684603598382738,0.04032617174434653,35.37887019233884,3.6156347522437433,0.0,0.0,9
w/o pretrained transfer,0.7684603598382738,0.04032617174434653,35.37887019233884,3.6156347522437433,0.0,0.0,9
w/o transformer block,0.7684603598382738,0.04032617174434653,35.37887019233884,3.6156347522437433,0.0,0.0,9
w/o task-specific gating,0.7692768904897902,0.041090563342073096,35.331417945056984,3.962134652043305,-0.0008165306515164,0.0,9
w/o R-Drop,0.7766053014331393,0.06613242815579891,34.515849181651696,4.824333430614086,-0.0081449415948655,0.0,9
w/o modality gate,0.7769859499401517,0.038305566288418566,34.704059944005245,3.1291992173440653,-0.0085255901018779,0.0,9
