Target,Feature,Rank,Permutation importance,Stability,Univariate stat,FDR q,Direction,Evidence,Tier
glass_adhesion_kpa,Cationic-ATAC,1,0.2224,1.0,0.3928,0.0,1.0,0.9857,high
glass_adhesion_kpa,pair_03,2,0.099,1.0,0.2207,0.0076,1.0,0.9714,high
glass_adhesion_kpa,Hydrophobic-BA,4,0.0555,1.0,0.3843,0.0,1.0,0.9429,high
glass_adhesion_kpa,pair_02,7,0.0303,1.0,-0.3529,0.0,-1.0,0.9,high
glass_adhesion_kpa,pair_13,6,0.0313,0.9,0.6426,0.0,1.0,0.8743,high
glass_adhesion_kpa,Nucleophilic-HEA,9,0.0239,1.0,-0.3147,0.0001,-1.0,0.8714,high
glass_adhesion_kpa,pair_23,8,0.0272,0.9,0.4646,0.0,1.0,0.8457,high
glass_adhesion_kpa,pair_34,10,0.0136,0.9,0.2765,0.0005,1.0,0.8171,high
glass_adhesion_kpa,pair_35,12,0.0111,0.9,0.2123,0.0098,1.0,0.7886,high
glass_adhesion_kpa,pair_01,3,0.0719,1.0,-0.1131,0.2111,-1.0,0.6571,moderate
glass_adhesion_kpa,pair_04,5,0.0504,0.9,-0.0185,0.8053,-1.0,0.5886,moderate
glass_adhesion_kpa,pair_12,11,0.0112,1.0,0.1598,0.0613,1.0,0.5429,moderate
glass_adhesion_kpa,Acidic-CBEA,13,0.0107,1.0,-0.0407,0.649,-1.0,0.5143,moderate
glass_adhesion_kpa,pair_25,14,0.0075,1.0,-0.1301,0.143,-1.0,0.5,moderate
glass_adhesion_kpa,pair_15,16,0.0057,1.0,-0.0911,0.2891,-1.0,0.4714,moderate
